*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C106NO3	O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O	InChI=1S/C10H15NO6/c1-7(13)9(6-8(14)4-5-12)10(2,3)17-11(15)16/h5,9H,4,6H2,1-3H3	DSEFLMWIAZKUSJ-UHFFFAOYSA-N	C10H15NO6	245.2292	false	false	
C106O	O=CCC(=O)CC(C(=O)C)C(C)(C)[O]	InChI=1S/C10H15O4/c1-7(12)9(10(2,3)14)6-8(13)4-5-11/h5,9H,4,6H2,1-3H3	DYTFHPNMTAPPEO-UHFFFAOYSA-N	C10H15O4	199.2237	false	false	
C106O2	O=CCC(=O)CC(C(=O)C)C(C)(C)O[O]	InChI=1S/C10H15O5/c1-7(12)9(10(2,3)15-14)6-8(13)4-5-11/h5,9H,4,6H2,1-3H3	COKDPSKQWWKMTN-UHFFFAOYSA-N	C10H15O5	215.2231	false	true	
C106OH	O=CCC(=O)CC(C(=O)C)C(C)(C)O	InChI=1S/C10H16O4/c1-7(12)9(10(2,3)14)6-8(13)4-5-11/h5,9,14H,4,6H2,1-3H3	LWIDJJPVYZTGLI-UHFFFAOYSA-N	C10H16O4	200.2316	false	false	
C106OOH	O=CCC(=O)CC(C(=O)C)C(C)(C)OO	InChI=1S/C10H16O5/c1-7(12)9(10(2,3)15-14)6-8(13)4-5-11/h5,9,14H,4,6H2,1-3H3	QENSMPURVPBEBQ-UHFFFAOYSA-N	C10H16O5	216.231	false	false	
C107O	O=CCC1CC([O])(C(=O)C)C1(C)C	InChI=1S/C10H15O3/c1-7(12)10(13)6-8(4-5-11)9(10,2)3/h5,8H,4,6H2,1-3H3	YIGWFTPPQWFCJN-UHFFFAOYSA-N	C10H15O3	183.2243	false	false	
C107O2	O=CCC1CC(O[O])(C(=O)C)C1(C)C	InChI=1S/C10H15O4/c1-7(12)10(14-13)6-8(4-5-11)9(10,2)3/h5,8H,4,6H2,1-3H3	WYBBBHGVDSEJOF-UHFFFAOYSA-N	C10H15O4	199.2237	false	true	
C107OH	O=CCC1CC(O)(C(=O)C)C1(C)C	InChI=1S/C10H16O3/c1-7(12)10(13)6-8(4-5-11)9(10,2)3/h5,8,13H,4,6H2,1-3H3	DUMRJPIWTJFZCT-UHFFFAOYSA-N	C10H16O3	184.2322	false	false	
C107OOH	O=CCC1CC(OO)(C(=O)C)C1(C)C	InChI=1S/C10H16O4/c1-7(12)10(14-13)6-8(4-5-11)9(10,2)3/h5,8,13H,4,6H2,1-3H3	JYIMELQJWXRSLA-UHFFFAOYSA-N	C10H16O4	200.2316	false	false	1-[2,2-Dimethyl-1-hydroperoxy-3-(2-oxoethyl)cyclobutyl]ethanone; J3.659.715A
C108NO3	O=CCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O	InChI=1S/C10H15NO6/c1-7(13)9(14)6-8(4-5-12)10(2,3)17-11(15)16/h5,8H,4,6H2,1-3H3	MVSLQVXNIWKHQS-UHFFFAOYSA-N	C10H15NO6	245.2292	false	false	
