TREF TMECH 298.0 298.0
HN0002    5.09E-11  5.09E-11 SAR, SAR
ND7003    3.84E-11  3.84E-11 SAR, SAR
TN0005    3.53E-11  3.53E-11 SAR, SAR
DK7003    7.52E-11  7.52E-11 SAR, SAR
TD8001    3.12E-11  3.12E-11 SAR, SAR
DD8000    9.08E-11  9.08E-11 SAR, SAR
HU9004    1.54E-10  1.54E-10 SAR, SAR
HU8000    1.51E-10  1.51E-10 SAR, SAR
HD5001    4.48E-11  4.48E-11 SAR, SAR
UD7000    5.33E-11  5.33E-11 SAR, SAR
TU0001    5.18E-11  5.18E-11 SAR, SAR
TT000O    1.73E-11  1.73E-11 SAR, SAR
TD0002    2.65E-11  2.65E-11 SAR, SAR
DD5001    8.41E-11  8.41E-11 SAR, SAR
TA8003    9.35E-12  9.35E-12 SAR, SAR
HD0002    6.70E-11  6.70E-11 SAR, SAR
NK8000    3.42E-12  3.42E-12 SAR, SAR
DK9002    3.32E-11  3.32E-11 SAR, SAR
G02000    3.23E-12  3.23E-12 SAR, SAR
NO6001    3.78E-11  3.78E-11 SAR, SAR
NO5000    3.66E-12  3.66E-12 SAR, SAR
DD2000    9.70E-12  9.70E-12 DATA, DATA
GK0000    2.29E-11  2.29E-11 SAR, SAR
NU9000    7.08E-11  7.08E-11 SAR, SAR
NU9001    3.63E-11  3.63E-11 SAR, SAR
NU8001    5.62E-11  5.62E-11 SAR, SAR
UD7001    1.88E-10  1.88E-10 SAR, SAR
UD0000    1.71E-10  1.71E-10 SAR, SAR
TU0002    5.48E-11  5.48E-11 SAR, SAR
TT0002    8.40E-11  8.40E-11 SAR, SAR
TT000P    3.69E-11  3.69E-11 SAR, SAR
TT000L    3.02E-11  3.02E-11 SAR, SAR
TE0004    5.28E-11  5.28E-11 SAR, SAR
NK9003    4.27E-11  4.27E-11 SAR, SAR
HN9000    3.34E-11  3.34E-11 SAR, SAR
NK8001    4.29E-12  4.29E-12 SAR, SAR
NU9005    8.53E-11  8.53E-11 SAR, SAR
NU9003    8.73E-11  8.73E-11 SAR, SAR
NU9002    1.15E-10  1.15E-10 SAR, SAR
DD7000    4.69E-11  4.69E-11 SAR, SAR
TH000A    2.79E-11  2.79E-11 SAR, SAR
TK9000    1.27E-11  1.27E-11 SAR, SAR
NK4001    3.89E-12  3.89E-12 SAR, SAR
A02000    6.93E-13  6.02E-13 DATA, SAR
DD0000    6.86E-11  6.86E-11 SAR, SAR
NK4000    2.47E-12  2.47E-12 SAR, SAR
NK9000    1.35E-11  1.35E-11 SAR, SAR
ND9000    1.85E-11  1.85E-11 SAR, SAR
TT0009    1.32E-10  1.32E-10 SAR, SAR
TK0000    1.35E-11  1.35E-11 SAR, SAR
HD0005    9.65E-11  9.65E-11 SAR, SAR
AK0000    2.71E-11  2.71E-11 SAR, SAR
DK9005    7.21E-11  7.21E-11 SAR, SAR
OO6000    3.78E-11  3.78E-11 SAR, SAR
DO7000    6.33E-11  6.33E-11 SAR, SAR
NU8000    6.77E-11  6.77E-11 SAR, SAR
DK7001    4.95E-11  4.95E-11 SAR, SAR
