    5694  ! number of records (species) in the file
! Diffusion volume computed using the Fuller et al. approach,
! as described in Poling et al. book (5th edition, 2004)
GNU800F    198.43
GNN700E    204.58
GNN700C    219.03
GHN700D    210.69
GNN9008    245.62
GNN9007    260.07
GHN900C    251.73
GNN9003    239.51
GNN7006    198.47
GNN800F    212.88
GNN700D    199.96
GHN901k    237.28
GHN901l    251.73
GHH9014    243.39
GHN901I    231.17
GHN500M    166.67
GHH500G    158.33
GHN500N    147.60
GHN701E    190.13
GHN800d    204.54
GND700g    184.02
GNN700c    198.47
GHN7012    190.13
GND700e    177.91
GND700f    179.40
GNN4004    140.04
GHN4006    131.70
GND4003    120.97
GAN4002    127.08
GGN4002    133.19
GPN4003    147.64
GNO3000     98.96
GNN3000    113.41
GHN3001    105.07
GND4004    114.86
GAN4000    120.97
GGN4000    127.08
GPN4001    141.53
GND700Z    177.91
GND600W    158.88
GNU700E    171.80
GND3001     94.34
GAN3002    100.45
GGN3001    106.56
GPN3002    121.01
GNN4008    135.42
GHN400B    127.08
GND400B    116.35
GNU7003    173.29
GNU700d    173.29
GNN800G    212.88
GHN800L    204.54
GNU800E    192.32
GNU800G    193.81
GNU9005    214.33
GAN9008    220.44
GGN9009    226.55
GPN9009    241.00
GNU700G    171.80
GHD901L    216.72
GAH6009    153.67
GGH6005    159.78
GPH6006    174.23
GHD8003    190.09
GHD900x    222.83
GHN901O    237.28
GHH9013    228.94
GHD901W    216.72
GHD700r    175.68
GHU800M    190.09
GHN901M    237.28
GHN901N    251.73
GHH900y    243.39
GHN701L    190.13
GHN800S    204.54
GHH900w    228.94
GHH900x    243.39
GHH900u    222.83
GHH800K    196.20
GHD700Z    169.57
GHD4005    112.63
GHO3000     90.62
GHN3003    105.07
GHH3001     96.73
GHD4002    106.52
GAH4001    112.63
GGH4000    118.74
GPH4001    133.19
GHD700n    169.57
GHD600W    150.54
GHU900B    205.99
GHU700C    163.46
GHD3006     86.00
GAH3001     92.11
GGH3000     98.22
GPH3001    112.67
GHN4009    127.08
GHH4004    118.74
GHD4009    108.01
GHU7005    164.95
GHU700a    164.95
GHN800T    204.54
GHH800F    196.20
GHU800L    183.98
GHU800N    185.47
GHU9005    205.99
GHU700E    163.46
GDO3002     73.78
GDO2000     53.26
GAO2000     59.37
GGO2000     65.48
GPO2000     79.93
GNK800D    199.92
GHK8007    191.58
GDK900m    205.99
GAK6002    142.94
GGK6002    149.05
GPK6002    163.50
GDK800A    180.85
GDK900p    212.10
GND9017    226.55
GHD9016    218.21
GDK900L    205.99
GNK5006    141.49
GHK5006    133.15
GDK500D    122.42
GDK700L    164.95
GND901I    226.55
GNN9014    241.00
GHN901y    232.66
GND700Q    184.02
GNN7003    198.47
GND701G    179.40
GHD901M    218.21
GHN901z    232.66
GHD900v    212.10
GHD700U    175.68
GTN900b    218.95
GTH900R    210.61
GTD9007    199.88
GTN900Z    233.40
GTH900O    225.06
GTN900K    214.33
GTH901e    225.06
GTH900P    216.72
GTH900V    205.99
GTA000Y    226.51
GTG000I    232.62
GTP000G    247.07
GTN900d    218.95
GTH900U    210.61
GTD9008    199.88
GTA000W    240.96
GTG000G    247.07
GTP000E    261.52
GTN900c    233.40
GTH900S    225.06
GTN900L    214.33
GTA000X    232.62
GTG000H    238.73
GTP000F    253.18
GTH901f    225.06
GTH900T    216.72
GTH900W    205.99
GTN0025    234.85
GTG000J    247.07
GTH004C    226.51
GTG000K    238.73
GTD000N    215.78
GTG000L    228.00
GTN9000    212.84
GTH9000    204.50
GTD9001    193.77
GTA900T    199.88
GTG900A    205.99
GTP900W    220.44
GTN900a    214.33
GTH900Q    205.99
GTD9006    195.26
GTN0022    240.96
GTN001z    255.41
GTH0049    247.07
GTN001v    234.85
GTN0021    236.34
GTH003W    232.62
GTH003T    247.07
GTH003U    238.73
GTH0038    226.51
GTH003V    228.00
GTD000a    221.89
GTN002M    236.34
GTH004W    228.00
GTD000W    215.78
GTD000Z    217.27
GHK900E    222.83
GPK0006    259.29
GDK900F    212.10
GHN900a    237.28
GPN0007    273.74
GND900M    226.55
GHH900J    228.94
GPH000D    265.40
GHD900L    218.21
GHK900C    216.72
GPK0004    253.18
GDK900D    205.99
GHD900G    218.21
GPD0003    254.67
GDD9009    207.48
GNK7003    188.64
GHK7003    180.30
GDK700C    169.57
GHN900Y    231.17
GPN0005    267.63
GND900K    220.44
GNK600G    157.39
GHH900H    222.83
GPH000B    259.29
GHD900J    212.10
GHK600D    149.05
GDK700V    163.46
GND700d    177.91
GHD700X    169.57
GDK500B    116.31
GDK700D    158.84
GDD000M    232.62
GND0011    247.07
GHD001I    238.73
GDD000L    228.00
GDD900A    207.48
GND000h    247.07
GNN000l    261.52
GHN001a    253.18
GND000g    242.45
GHD000t    238.73
GHN001L    253.18
GHH000p    244.84
GHD000s    234.11
GDD9007    205.99
GND900J    220.44
GHD900I    212.10
GDD8003    179.36
GDD9006    201.37
GDD000K    228.00
GND000x    242.45
GHD001D    234.11
GDD000J    223.38
GDD900N    212.10
GND9019    226.55
GHD901B    218.21
GDD700J    164.95
GDD900M    207.48
GND900Y    226.55
GNN900X    241.00
GHN9013    232.66
GND701B    179.40
GND900X    221.93
GHD900R    218.21
GHN900n    232.66
GHH900T    224.32
GHD701A    171.06
GHD900Q    213.59
GDK6007    138.32
GDK0008    231.13
GND000B    245.58
GHD000e    237.24
GDK900i    205.99
GDK500E    122.42
GNK600C    163.50
GHK6006    155.16
GAK7005    171.06
GGK7003    177.17
GPK7003    191.62
GDK6006    144.43
GDK4003    101.90
GNK4003    120.97
GNN4007    135.42
GND900p    220.44
GND500J    136.87
GNN600G    177.95
GHN600G    169.61
GAN700I    185.51
GGN7009    191.62
GPN7009    206.07
GND6008    158.88
GND4005    116.35
GHK4003    112.63
GHD900f    212.10
GHD500L    128.53
GHN600U    169.61
GHH6008    161.27
GAH700M    177.17
GGH700C    183.28
GPH7009    197.73
GHD600C    150.54
GHD4006    108.01
GKO3001     79.89
GNK3001     94.34
GHK3002     86.00
GAK5004    128.53
GKK6008    149.05
GAN500C    142.98
GNK600H    163.50
GAH500E    134.64
GHK600E    155.16
GDK4002     95.79
GAK4000    101.90
GGK4000    108.01
GPK4000    122.46
GDK700E    158.84
GAK5003    123.91
GKK6007    144.43
GDK600E    139.81
GUD700M    152.73
GDK3001     75.27
GKK4001    101.90
GNK4004    116.35
GHK4005    108.01
GAK0008    232.62
GGK0003    238.73
GPK0003    253.18
GAN000F    247.07
GGN0006    253.18
GPN0003    267.63
GHD000i    232.62
GAH000J    238.73
GGH000C    244.84
GPH0009    259.29
GNK900D    225.06
GHK900B    216.72
GDK900N    201.37
GNK600B    163.50
GHK6005    155.16
GAK7006    171.06
GGK7002    177.17
GPK7002    191.62
GNN600F    177.95
GHN600F    169.61
GAN700J    185.51
GGN7008    191.62
GPN7008    206.07
GHN600T    169.61
GHH6007    161.27
GAH700N    177.17
GGH700B    183.28
GPH7008    197.73
GDK5006    117.80
GNK600A    158.88
GHK6004    150.54
GAK7004    166.44
GGK7001    172.55
GPK7001    187.00
GDK6005    139.81
GDK4004     97.28
GUD7006    154.22
GUK7003    154.22
GUD800B    180.85
GNU800M    193.81
GHU800D    185.47
GUD8009    174.74
GUD9008    195.26
GUD7005    152.73
GUK4001     89.68
GUD6007    138.32
GUD700H    160.33
GNU6006    152.77
GNU700A    174.78
GHU6006    144.43
GHU700A    166.44
GUD6005    132.21
GUD700F    154.22
GUD5003    111.69
GUD6006    133.70
GUD700G    155.71
GUD7009    158.84
GNU7004    173.29
GNU700e    173.29
GHU7006    164.95
GHU700b    164.95
GNU800L    198.43
GHU800C    190.09
GUD800F    179.36
GUD9007    199.88
GNN800I    212.88
GHN800K    204.54
GNU800R    193.81
GNU9004    214.33
GHN800U    204.54
GHH800E    196.20
GHU800P    185.47
GHU9004    205.99
GNU800K    192.32
GHU800B    183.98
GUD800E    173.25
GUD9004    193.77
GUD700W    157.35
GNU700I    171.80
GHU700G    163.46
GUD6008    130.72
GUD5005    110.20
GAU5001    116.31
GGU5001    122.42
GPU5001    136.87
GUK6000    136.83
GNU6007    151.28
GHU6007    142.94
GUD7002    152.73
GUD6009    132.21
GUD7008    154.22
GUD700a    154.22
GEN2000     73.82
GTN9011    214.33
GTN900z    228.78
GTH901v    220.44
GTG8001    198.43
GTP8000    212.88
GTH003P    234.85
