    5694  ! number of records (species) in the file
GTN900v   260.03
GTN900I   314.14
GTN700R   314.25
GTN9007   314.14
GTH9005   290.28
GTN000M   279.85
GTN000L   301.43
GTH000x   281.34
GTH700r   264.41
GTN9013   260.03
GTN900q   299.41
GTN700S   277.24
GTN001G   253.19
GTN001F   286.83
GTH002c   255.50
GTH900l   277.07
GTH900j   262.92
GTH900k   288.99
GTH900i   289.75
GTA800f   273.20
GTA800h   285.65
GTP8009   278.99
GTG8008   285.65
GTP800C   275.98
GTH9016   288.99
GTH9013   265.43
GTH9014   299.07
GTH900p   277.07
GTH9015   288.12
GTH900m   262.92
GTH900n   288.99
GTH900h   277.07
GTE9006   277.07
GTH900c   289.75
GTH900d   262.48
GTA9006   277.07
GTH900o   276.20
GTH9012   277.83
GTH9019   252.39
GTH700j   253.85
GTH900x   262.48
GTH900t   262.48
GTH9024   277.83
GTH901r   252.39
GTH901N   289.75
GTH000h   282.09
GTH000f   249.33
GTH000g   293.55
GTH901p   277.07
GTH900J   290.28
GTH700g   264.41
GTH900u   260.03
GTH900q   260.03
GTH901R   254.90
GTH000Q   249.33
GTH000O   281.34
GTH000P   251.02
GTH700h   269.81
GTH900v   277.07
GTH900r   277.07
GTH9011   277.07
GTH9018   262.92
GTH700i   253.81
GTH900w   261.60
GTH900s   261.60
GTH001N   267.14
GTH001L   255.50
GTH001M   281.16
GTT0049   282.09
GTT004J   250.00
GTT003h   245.06
GTT002q   268.07
GTT004E   249.07
GTT0027   278.16
GTT0028   247.38
GTT001q   245.06
GTT001o   278.16
GTT001p   247.38
GTT0022   245.06
GTT001y   278.16
GTT001z   247.38
GTT0021   253.19
GTT000p   247.38
GTT000h   268.07
GTT000f   247.38
GTT000g   282.09
GTT004I   268.07
GTT003g   247.38
GTT002o   282.09
GTT004D   267.14
GTT003N   249.07
GTT003L   253.19
GTT003M   267.14
GTT003X   249.07
GTT003V   253.19
GTT002p   267.14
GTT003W   248.01
GTT002c   249.07
GTT002I   278.16
GTT002J   247.38
GTT0036   249.33
GTT0034   281.34
GTT002O   245.06
GTT002M   278.16
GTT002N   247.38
GTT004K   245.06
GTT003i   278.16
GTT002r   247.38
GTT004F   253.19
GTT001M   278.16
GTT001J   300.09
GTT001K   279.85
GTT0017   278.16
GTT0015   300.09
GTT0016   279.85
GTT001I   278.16
GTT001F   300.09
GTT001G   279.85
GTT001H   286.83
GTT001A   286.83
GTT002W   247.38
GTT002Y   279.85
GTT002a   253.19
GTT000z   247.38
GTT001f   293.55
GTT001d   251.02
GTT001e   303.23
GTT000v   268.07
GTT000t   247.38
GTT000u   282.09
GTT004L   268.07
GTT003j   247.38
GTT002s   282.09
GTT004G   267.14
GTT000e   247.38
GTT000b   279.85
GTT000c   249.33
GTT000T   247.38
GTT000R   279.85
GTT000S   249.33
GTT004M   247.38
GTT003k   279.85
GTT002t   249.33
GTT004H   255.50
GTT001W   249.33
GTT002b   267.14
GDD600B   228.01
GND600V   273.31
GHD600V   249.66
GDD4006   185.78
GDD700D   253.81
GND7011   283.32
GHD7013   269.77
GDD6000   228.70
GDD700C   253.76
GDD5005   225.42
GAD6009   249.66
GAN6007   281.01
GAH6005   266.46
GAD4001   220.31
GAH000O   252.52
GAH000Q   302.30
GAH000K   251.02
GAH000G   303.23
GAH000H   292.61
GAD6005   250.35
GGD6005   266.46
GGN6004   287.53
GGH6002   280.18
GGD4000   244.81
GGH000N   310.68
GGH000B   302.30
GGD6002   267.15
GPD6007   287.53
GPN6005   351.14
GPH6004   293.17
GPD4002   357.37
GPH000U   261.98
GPH000H   260.64
GPD6004   314.39
GDO5001   221.82
GNO4000   262.95
GNN4003   354.30
GHN4005   274.94
GND500E   268.65
GAN500B   278.28
GGN5003   286.42
GPN5003   359.99
GND4008   298.20
GHD500B   244.75
GDO3000   176.35
GHD000j   282.09
GHK900U   290.41
GHN901b   245.69
GHK900S   278.49
GHD9019   289.75
GKK8006   258.45
GHN901E   243.19
GHH900M   290.41
GHD900P   277.83
GHK800H   274.10
GHN800c   246.74
GHH800B   286.55
GDK5008   223.39
GHK800F   273.68
GND500K   268.65
GNN5005   346.71
GHN5008   278.28
GND3004   333.54
GHN000y   249.33
GHN901x   245.69
GHN901a   282.43
GHN901v   243.19
GHN901u   254.90
GNK8006   254.71
GHN901D   280.45
GHH900K   245.69
GHN900h   252.39
GHN800l   246.74
GHN800b   290.58
GHH8009   250.16
GND500D   299.29
GHN800i   258.65
GHD500N   244.75
GHN500A   278.28
GHH5002   262.54
GHD3003   213.73
GHH000b   293.55
GHH9017   300.49
GHH9011   247.90
GHH9016   290.41
GHH9015   299.83
GHK8006   273.68
GHH900p   245.69
GHH900L   300.49
GHH900Q   289.75
GHH800P   286.55
GHH800N   250.16
GHH800A   297.07
GHD500E   246.33
GHH800O   286.13
GD02000   103.20
GA02000   173.95
GG02000   215.33
GP02000   461.90
GED900D   288.99
GEN9007   265.43
GEH9007   299.07
GED900C   288.12
GED9005   289.75
GEK8001   274.10
GEN9002   254.90
GEH9003   299.83
GED0001   281.16
GEN0001   257.46
GEH0005   292.61
GED0003   281.16
GEN0002   257.46
GEH0006   292.61
GED9003   277.83
GEA9001   289.75
GEG9001   299.83
GEP9001   257.11
GEK8000   258.87
GEN8000   242.79
GEH8004   274.10
GED9001   263.23
GEA9000   277.83
GEG9000   289.75
GEP9000   254.90
GED8000   258.45
GEN9001   252.39
GEN9000   249.50
GEH9002   289.75
GEH9001   277.83
GED0000   267.14
GED0002   280.10
GEA0001   292.61
GEA0000   281.16
GEG0001   302.30
GEG0000   292.61
GEP0001   260.64
GEP0000   259.15
GED9002   277.07
GED9000   262.48
GEK7001   253.89
GEN7000   248.67
GEH7001   269.85
GEK7000   253.85
GED9004   288.99
GED8005   272.64
GEA8000   285.65
GEG8000   296.17
GEP8000   278.99
GED900F   288.99
GEN9008   265.43
GEH9008   299.07
GED900E   288.12
GED8002   286.13
GEK7002   269.85
GED7005   269.81
GED900G   288.99
GEK5000   221.82
GEN7003   269.55
GEN9006   265.43
GEH8006   296.65
GEH7002   282.89
GEH7000   282.85
GEH9000   299.07
GEH5000   244.75
GEH3000   240.24
GEK4000   220.31
GDD8004   273.20
GHD701E   282.85
GTD000d   267.14
GTN001s   255.50
GTH0034   281.16
GTN000o   255.50
GTK9007   244.42
GTN900y   246.08
GTH901c   263.23
GTE000K   267.14
GTH002j   282.09
GTD0003   249.07
GTA0008   267.14
GTG000S   281.16
GTP000O   257.46
GTD900A   243.67
GTD000J   266.08
GTD000U   266.08
GKO5002   244.75
GDK900I   277.07
GKK6009   249.66
GUK8008   258.45
GNK600F   281.01
GHK600C   266.46
GDD700K   269.72
GUD900G   261.60
GUD900D   261.60
GDK600G   250.35
GAD600A   267.15
GGD6006   280.87
GPD6008   320.04
GDK700X   269.77
GND701H   288.46
GHD701F   282.81
GDK900g   277.07
GND900l   262.92
GHD900a   288.99
GDK700N   253.81
GDK900T   276.20
GHD500I   264.11
GND000T   257.46
GND800D   272.56
GHN701V   274.00
GNN000d   290.01
GHN001H   259.15
GTN002P   255.50
GTN001r   288.52
GTH0032   257.46
GTN001L   255.50
GTN001K   288.52
GTN001N   255.50
GTN000n   288.52
GTH002y   257.46
GTN900P   246.08
GTN900N   285.56
GTH900b   249.50
GTE000I   255.50
GTH002h   249.33
GTN0002   253.19
GTA0007   255.50
GTG0007   257.46
GTP000I   290.01
GTN900O   256.61
GTN001M   264.79
GTN002J   264.79
GNK5001   278.28
GND900O   262.92
GNK600J   281.01
GNU800S   254.71
GNN600P   346.16
GHN600e   287.53
GND701D   312.14
GNU900K   272.32
GNU900A   272.32
GND600X   307.88
GAN600A   314.39
GGN6006   320.04
GPN6007   386.34
GND701E   288.46
GNN700t   343.66
GHN701W   292.91
GND901C   262.92
GNN900i   301.62
GHN900s   265.43
GND700v   283.32
GND900g   275.22
GHD000V   292.61
GHD800G   285.65
GHH700d   293.87
GHN000T   259.15
GHH000I   302.30
GTH004a   281.16
GTH0045   257.46
GTH0033   292.61
GTH001B   281.16
GTH0019   257.46
GTH001A   292.61
GTH001F   281.16
GTH001C   257.46
GTH001D   292.61
GTH900F   263.23
GTH900C   249.50
GTH900D   277.83
GTE000J   281.16
GTH002i   293.55
GTH0005   267.14
GTA0004   281.16
GTG0004   292.61
GTP0004   259.15
GTH900E   262.48
GTH001E   280.10
GTH004S   280.10
GHD000U   292.61
GHK5002   262.54
GHD900S   288.99
GHK600I   266.46
GHU800Q   273.68
GHN000S   259.15
GHN600n   287.53
GHH000H   302.30
GHH600R   280.18
GHD700x   282.76
GHU900G   276.20
GHD000T   291.55
GHU900C   276.20
GHD600Y   267.15
GAH600A   280.87
GGH6006   292.48
GPH6007   325.02
GHD700y   282.81
GHN701N   292.91
GHH700e   293.83
GHD901F   288.99
GHN901T   265.43
GHH900a   299.07
GHD700t   269.77
GHD9011   288.12
GTH901H   262.48
GTH002x   257.46
GTH901F   260.03
GTH901G   277.07
GTN000r   255.50
GTD000L   266.08
GTD9003   243.67
GTN000p   288.52
GTN0023   264.79
GTN900A   256.61
GTH0025   257.46
GTH004A   280.10
GTH900A   262.48
GTD000R   267.14
GTN000t   255.50
GTH0018   281.16
GTE000V   267.14
GTH002m   282.09
GTD0008   249.07
GTA000J   267.14
GTD000M   266.08
GTD9004   243.67
GTN002C   255.50
GTN000s   288.52
GTH0016   257.46
GTE000T   255.50
GTH002k   249.33
GTN000B   253.19
GTA000H   255.50
GTN0024   264.79
GTN900B   256.61
GTH004J   281.16
GTH0026   257.46
GTH0017   292.61
GTE000U   281.16
GTH002l   293.55
GTH000S   267.14
GTA000I   281.16
GTH004B   280.10
GTH900B   262.48
GTN002R   255.50
GTH004d   281.16
GTD000g   266.08
GTN001w   288.52
GTH0048   257.46
GTN001x   264.79
GTH003A   257.46
GTH003B   292.61
GTH003C   280.10
GTE000W   255.50
GTH002d   249.33
GTN0001   253.19
GTA000K   255.50
GTG0005   257.46
GTP0005   290.01
GTE000X   281.16
GTH002e   293.55
GTH0003   267.14
GTA0003   281.16
GTG0003   292.61
GTP0003   259.15
GTH002f   281.16
GTD0001   248.01
GTA000L   266.08
GTD000X   264.86
GTN9014   260.03
GTH901y   277.07
GTD900F   261.60
GTN900f   299.41
GTH901h   262.92
GTN900g   272.32
GTH900e   262.92
GTH900f   288.99
GTH900g   276.20
GTN002L   264.79
GTH004V   280.10
GTK9001   217.91
GTN9003   241.88
GTH9003   244.42
GTD9000   217.15
GTD900D   242.79
GTD800A   238.33
GTH800I   257.97
GTA9003   243.67
GTG9001   262.48
GTP900C   260.03
GTK8001   211.14
GTN900H   249.50
GTN9009   288.07
GTH9026   252.39
GTH9025   277.83
GTU9003   217.15
GTN8001   244.32
GTN900F   288.07
GTH901s   290.28
GTN9002   252.41
GTH800B   238.81
GTH901P   289.75
GTH9002   243.67
GTK8004   163.82
GTK8000   210.65
GTN900G   260.03
GTN9008   299.41
GTH901q   262.92
GTU9002   216.28
GTU0005   222.53
GTN000q   264.79
GTD000K   264.86
GTD9002   242.79
GHD800Q   286.13
GDK8000   238.81
GAK8000   258.45
GGK8000   273.68
GPK8000   258.65
GDK000F   281.16
GND000L   257.46
GHD000P   292.61
GED000A   281.16
GHK0001   293.55
GDK0004   267.14
GAK0004   281.16
GDK9008   262.48
GDK000E   280.10
GDD800B   257.97
GAD800B   273.20
GGD8004   285.65
GPD8004   275.98
GHD901E   289.75
GHN901S   254.90
GHH900Z   299.83
GHD700s   269.81
GHD900z   288.99
GHN800Y   262.07
GND8001   250.04
GND000p   257.46
GNN000R   290.01
GHN000Q   259.15
GEN0007   257.46
GHN001E   251.02
GND0008   255.50
GAN0007   257.46
GND9007   260.03
GND000k   266.75
GND800G   268.61
GAN800T   272.56
GHH800G   296.65
GHD8008   258.45
GHD0017   292.61
GHN000x   259.15
GHH000F   302.30
GEH000B   292.61
GHH000j   303.23
GHD000A   281.16
GAH000C   292.61
GHD9007   277.07
GHD0015   291.55
GHD800H   273.20
GAH800e   285.65
GTD000h   267.14
GTE000O   267.14
GTH004c   282.09
GTD000c   249.07
GTA000C   267.14
GTN001y   255.50
GTE000L   255.50
GTH0047   249.33
GTN001q   253.19
GTH003D   281.16
GTE000M   281.16
GTH0039   293.55
GTH0031   267.14
GTD000Q   267.14
GTE000S   267.14
GTK0004   268.07
GTD0007   249.07
GTA000G   267.14
GTN002B   255.50
GTE000P   255.50
GTN001I   247.38
GTN000A   253.19
GTA000D   255.50
GTH004I   281.16
GTE000Q   281.16
GTH002n   282.09
GTH000R   267.14
GTA000E   281.16
GTE000Z   267.14
GTH002g   282.09
GTD0002   249.07
GTA000M   267.14
GTG000U   281.16
GTP000Q   257.46
GTE0000   249.07
GTK0002   250.00
GTN001H   245.06
GTH0002   268.07
GTD0000   223.59
GTA0000   249.07
GTG0001   267.14
GTP0001   255.50
GTE000Y   266.08
GTD000P   266.08
GTE000R   266.08
GTK0003   267.14
GTD0006   248.01
GTA000F   266.08
GTD000Y   266.08
GTE000N   266.08
GTD000T   248.01
GHD000R   302.30
GDK0005   281.16
GAK0006   292.61
GDK9009   277.07
GHN000R   260.64
GND0009   257.46
GAN0009   259.15
GND9008   262.92
GHH000G   310.68
GHD000B   292.61
GAH000E   302.30
GHD9008   288.99
GHD000O   292.61
GDK0003   267.14
GAK0003   281.16
GDK9007   262.48
GHD000Q   301.24
GDD0004   280.10
GAD0005   291.55
GDD9004   276.20
GDK900M   288.99
GUK800B   258.45
GND900U   265.43
GNU800W   254.71
GHD900l   299.07
GHU800V   273.68
GDK900u   277.83
GND900E   252.39
GKO7001   253.89
GNK7001   248.67
GHK7001   269.85
GDK7006   253.85
GDK900C   277.07
GUK8009   238.81
GDD900H   288.12
GUD800L   257.97
GNU800C   254.71
GNN800A   300.40
GHN800Z   258.65
GND901R   252.39
GNN9006   290.28
GND9003   262.92
GNU800A   250.04
GNU800B   268.61
GHU800K   273.68
GHN800O   258.65
GHH800H   286.13
GHD901V   289.75
GHN9025   254.90
GHU800I   258.45
GHU800J   273.20
GDK6000   249.66
GUD900I   262.48
GAU9005   277.07
GGU9005   288.99
GPU9005   265.43
GND600Z   281.01
GNU900L   260.03
GHD600a   266.46
GHU900H   277.07
GKO5000   221.82
GNK5000   268.65
GHK5001   244.75
GHK600G   265.89
GDK900s   277.83
GND901P   252.39
GHD901T   289.75
GND901O   252.39
GNN9015   290.28
GHN9023   254.90
GHD901S   289.75
GDK6008   228.01
GAK6000   249.66
GGK6000   266.46
GPK6001   287.53
GDK900J   277.07
GND900P   262.92
GHD900T   288.99
GDK9003   262.48
GAK9002   277.07
GGK9000   288.99
GPK9001   265.43
GUD9001   243.67
GAU9004   262.48
GGU9004   277.07
GPU9004   262.92
GDK5009   223.39
GAK5000   246.33
GGK5002   264.11
GPK5002   317.06
GKK6003   249.66
GNK600K   281.01
GHK600J   266.46
GKK6000   228.01
GDK600C   250.35
GDK8005   272.64
GUD900H   261.60
GUK7000   233.23
GUK800A   238.81
GNU800P   250.04
GHU800G   258.45
GUD9006   243.67
GUD800H   238.33
GHN000P   259.15
GND0007   255.50
GND9006   260.03
GND9012   252.39
GNN900A   290.28
GHN901m   254.90
GND900T   262.92
GNU800I   250.04
GNN900w   290.28
GNN9004   315.93
GNN8009   296.98
GHN901n   254.90
GHN901o   292.26
GHN800N   254.71
GND600T   281.01
GNU900C   260.03
GGN9007   265.43
GPN9007   303.60
GNN600O   346.16
GNN900o   299.41
GHN600l   287.53
GHN901e   262.92
GNN5006   346.71
GHN500C   278.28
GHN600k   266.07
GND900y   252.39
GNN900q   290.28
GHN901g   254.90
GNN900p   290.28
GNN900r   315.93
GHN901h   292.26
GHN901f   254.90
GND600J   273.31
GND900x   262.92
GNU9000   256.61
GGN9006   262.92
GPN9006   301.62
GND500F   299.29
GGN5004   317.06
GPN5004   395.05
GNN600Q   346.16
GHN600o   287.53
GNK6003   273.31
GND600S   307.88
GNU900B   272.32
GNN800H   296.98
GHN800M   254.71
GNU9003   256.61
GGN900A   262.92
GPN900A   301.62
GNU800J   263.95
GHH000E   302.30
GHD0009   281.16
GHD9006   277.07
GHD900t   289.75
GHN900O   254.90
GHD900k   288.99
GHU8009   258.45
GHN901G   254.90
GHN900B   292.26
GHN800I   254.71
GHH900q   299.83
GHH900r   257.11
GHH800C   273.68
GHD600P   266.46
GHU900E   277.07
GGH9005   299.07
GPH9005   267.64
GHN600X   287.53
GHN9015   262.92
GHH600O   280.18
GHH900j   288.99
GHH5006   262.54
GHH600N   279.62
GHD900p   289.75
GHN9016   254.90
GHN9017   292.26
GHH900l   257.11
GHH900k   299.83
GHD600N   249.66
GHD900o   288.99
GHU9000   262.48
GGH9004   288.99
GPH9004   265.43
GHD500F   246.33
GGH5001   278.65
GPH5001   324.11
GHH600S   280.18
GHK6003   249.66
GHD600O   267.15
GHU900D   276.20
GHH800D   273.68
GHU9003   262.48
GHU800A   257.97
GDD900R   277.07
GND900B   262.92
GDD900F   276.20
GUD9002   243.67
GND901K   262.92
GNN9002   301.62
GHN9022   265.43
GND901L   275.22
GNU9001   256.61
GHD901P   288.99
GHU9001   262.48
GED7003   253.81
GDD900P   276.20
GND900o   275.22
GHD900e   288.12
GDD7004   233.23
GDD900K   275.16
GDD7009   253.76
GUD9003   242.79
GAN9007   260.03
GAH9007   277.07
GAD7006   253.81
GGN9008   262.92
GGH9007   288.99
GGD7003   269.77
GPN9008   301.62
GPH9007   265.43
GPD7001   288.46
GKO5004   189.50
GNK5003   256.87
GHK5003   221.82
GDK5007   191.07
GHD000S   301.24
GDD0005   280.10
GDD9005   276.20
GDD000F   281.16
GND000K   257.46
GED0009   281.16
GDD0003   267.14
GDD9003   262.48
GDD000D   280.10
GND000o   257.46
GNN000Q   290.01
GEN0006   257.46
GND0006   255.50
GND9005   260.03
GND000j   266.75
GHD0016   292.61
GHN000w   259.15
GEH000A   292.61
GHD0008   281.16
GHD9005   277.07
GHD0014   291.55
GDD8002   238.33
GDD000E   280.10
GND000J   266.75
GHD000N   291.55
GED0008   280.10
GDD0002   266.08
GDD9002   261.60
GDD000C   278.87
GDD900Q   277.07
GND900D   262.92
GHD901N   288.99
GDD900G   276.20
GUD800C   238.33
GND901J   262.92
GNN9005   301.62
GNU8009   263.95
GHD901O   288.99
GHN9021   265.43
GHU800H   257.97
GDD6008   250.35
GND600I   307.88
GHD600M   267.15
GDD900J   277.07
GND900Z   262.92
GHN9014   265.43
GHD900n   288.99
GDD6006   228.70
GDD900I   276.20
GDD900B   261.60
GUD9000   242.79
GDD5004   225.42
GDK6004   228.70
GDD6007   251.24
GUD9005   242.79
GUD800D   237.76
GEA0002   292.61
GAD9000   277.07
GAN5000   308.92
GAH5001   264.11
GAN700A   269.55
GAD800I   273.20
GAA8007   285.65
GPA8007   278.99
GAN7008   322.63
GAN800Q   272.56
GAA8004   275.98
GPA8004   323.73
GAH700F   274.00
GAH800a   285.65
GAA8005   296.17
GPA8005   281.69
GAD6008   250.35
GAN7009   288.46
GAD800F   272.64
GAA8006   285.08
GPA8006   295.70
GAU9000   261.60
GAD5000   248.35
GAU9002   261.60
GEG0002   302.30
GGD9000   288.99
GGD8008   285.65
GGN8005   275.98
GGH8005   296.17
GGD6004   267.15
GGD8005   285.08
GGU9000   276.20
GGD5003   266.14
GGU9002   276.20
GEP0002   260.64
GPD9006   265.43
GPD8008   275.98
GPN8005   321.29
GPH8005   278.99
GPD6006   314.39
GPD8005   292.69
GPU9000   275.22
GPD5003   358.07
GPU9002   275.22
GDK900h   277.07
GND900n   262.92
GHD900c   288.99
GDK700O   253.81
GDK900U   276.20
GND901D   262.92
GNN900j   301.62
GHN900t   265.43
GND700w   283.32
GND900h   275.22
GHD901G   288.99
GHN901U   265.43
GHH900b   299.07
GHD700u   269.77
GHD9012   288.12
GDK900f   277.07
GND901B   262.92
GHD901D   288.99
GED9009   277.07
GHK900W   289.75
GDK900d   262.48
GAK9001   277.07
GDK900e   276.20
GND900k   262.92
GNN900h   301.62
GHN901R   265.43
GEN9004   262.92
GHN901Q   254.90
GND900i   260.03
GAN9001   262.92
GND800E   268.61
GND900j   275.22
GHD900Z   288.99
GHN900r   265.43
GHH900Y   299.07
GEH9005   288.99
GHH900X   299.83
GHD900X   277.07
GAH9001   288.99
GHD900Y   288.12
GDK7009   233.23
GAK7008   253.81
GGK7007   269.77
GPK7008   288.46
GDK900S   276.20
GND900f   275.22
GHD900y   288.12
GED9008   276.20
GHK900O   288.99
GDK900Q   261.60
GAK9000   276.20
GDK900R   275.16
GDD900O   276.20
GND900m   275.22
GHD900b   288.12
GDD900L   275.16
GHK3001   240.24
GED0007   281.16
GDD0001   267.14
GAD0001   281.16
GDD9001   262.48
GDD000B   280.10
GED900B   277.83
GDK8002   258.45
GDK800G   273.68
GND800H   258.65
GHD800I   286.13
GDK600A   249.66
GDK800D   273.20
GUK7008   233.28
GHK500A   262.54
GND800P   258.65
GNN800B   303.41
GHN800P   262.07
GND600M   281.01
GND800N   272.56
GNU700f   258.33
GHD800R   286.13
GHN800a   262.07
GHH800I   296.65
GHD600R   266.46
GHD800N   285.65
GHU700c   253.85
GTK000D   268.07
GTN001A   247.38
GTH001U   282.09
GTK000A   267.14
GDK000H   282.09
GAK000B   293.55
GGK0008   303.23
GPK000F   252.52
GND000P   249.33
GAN000C   251.02
GGN0004   252.52
GPN0009   283.89
GHD000a   293.55
GAH0005   303.23
GGH0005   311.62
GPH0005   253.85
GKO9001   278.49
GNK900A   243.19
GHK9009   300.49
GHN900I   247.90
GHH9008   309.23
GHK9007   290.41
GHD900A   299.83
GKK8005   273.68
GNK900M   243.19
GNN900Q   280.45
GHN900E   245.69
GHK900Q   290.41
GHN900c   245.69
GHH9006   300.49
GDK900Z   277.83
GND900N   252.39
GHD9009   289.75
GNK6005   266.07
GNN600B   327.28
GHN600N   271.72
GND700W   269.55
GAN700F   274.00
GGN7006   277.93
GPN700C   329.32
GND600E   287.53
GHD700O   282.85
GDK5003   246.33
GDK700I   269.77
GTN002D   247.38
GTN0018   279.85
GTH001R   249.33
GTN0029   255.50
GND000q   249.33
GNN000V   281.34
GHN000Z   251.02
GND901M   252.39
GND7015   269.55
GNN700U   322.63
GHN700M   274.00
GND5003   308.92
GND700a   288.46
GTH004K   282.09
GTH002W   249.33
GTH001S   293.55
GTH004F   281.16
GHD0019   293.55
GHN0015   251.02
GHH000O   303.23
GHD901Q   289.75
GHN700r   274.00
GHH700B   293.87
GHD5008   264.11
GHD700o   282.81
GKO4000   216.90
GNK4000   298.20
GHK4000   241.40
GDK000K   282.09
GAK000C   293.55
GGK0007   303.23
GPK000E   252.52
GND000Z   249.33
GHD000u   293.55
GKO9002   278.49
GHK900P   290.41
GDK900r   277.83
GND0012   249.33
GAN000M   251.02
GGN000J   252.52
GPN000U   283.89
GNN000f   281.34
GHN001N   251.02
GNK900U   243.19
GHN901P   245.69
GND901N   252.39
GHD001J   293.55
GAH000S   303.23
GGH000M   311.62
GPH000R   253.85
GHN001S   251.02
GHH000r   303.23
GHK900Z   290.41
GHH900z   300.49
GHD901R   289.75
GTH003Z   282.09
GTK000F   267.14
GTH003X   249.33
GTN002N   255.50
GTH003Y   293.55
GTH004X   281.16
GTK0001   250.00
GTN0006   245.06
GTH900y   252.39
GTH000D   268.07
GTH900z   289.75
GTK000G   267.14
GTN002O   255.50
GTH004Y   281.16
GTK0000   249.07
GTD000b   266.08
GDK000A   282.09
GND000V   249.33
GHD000x   293.55
GED000E   282.09
GHK0003   294.38
GDK0002   268.07
GAK0000   282.09
GGK0000   293.55
GPK0000   251.02
GDK0009   281.16
GND000D   249.33
GNN0006   281.34
GHN000i   251.02
GEN0000   249.33
GHN000h   243.80
GND0002   247.38
GAN0001   249.33
GGN000G   251.02
GPN000R   282.68
GND000C   257.46
GHD000g   293.55
GHN000k   251.02
GHH000W   303.23
GEH0000   293.55
GHH000V   304.07
GHD0004   282.09
GAH0007   293.55
GGH0007   303.23
GPH0007   252.52
GHD000f   292.61
GKO9000   263.90
GHK900A   278.49
GKK800C   258.45
GNK9000   240.29
GHN900M   243.19
GNK800A   254.71
GHK9000   278.49
GHH900A   290.41
GHK800B   273.68
GDK9000   263.23
GHD900B   277.83
GDK8007   257.97
GAK900B   277.83
GGK9008   289.75
GPK9009   254.90
GDK900k   277.07
GND901F   262.92
GHD901J   288.99
GED9007   277.07
GHK900X   289.75
GDK900H   262.48
GAK9005   277.07
GGK9003   288.99
GPK9004   265.43
GDK900j   276.20
GKO8000   258.87
GKO6000   249.10
GNK600I   259.56
GHK600F   265.89
GDK7001   253.85
GAK7009   269.81
GGK7009   282.85
GPK7009   274.00
GDK600D   249.66
GNK800I   242.79
GND700m   269.55
GNN700e   322.63
GHN7018   274.00
GNK600D   259.56
GNN600H   322.30
GHN600W   266.07
GND7000   264.41
GAN700H   269.55
GGN700D   274.00
GPN700E   326.14
GND600G   281.01
GND700l   288.46
GHK800G   274.10
GHD700i   282.85
GHN700l   274.00
GHH700R   293.87
GHK6007   265.89
GHN600K   266.07
GHH600C   279.62
GHD7000   269.81
GAH700E   282.85
GGH7006   293.87
GPH700B   277.93
GHD600E   266.46
GHD700h   282.81
GDK5000   223.39
GAK5002   246.33
GGK5001   264.11
GPK5001   317.06
GKK800H   258.45
GDK700K   269.77
GND700I   288.46
GHD700I   282.81
GKK6006   249.66
GNK6009   281.01
GHK600B   266.46
GED7002   269.77
GHK7006   282.85
GHK0002   293.55
GHN001M   251.02
GHH000q   303.23
GDK7000   253.81
GAK7002   269.77
GGK7004   282.81
GPK7005   292.91
GKK0000   281.16
GNK0002   257.46
GHK0004   292.61
GDK6002   250.35
GDK700J   269.72
GUD8006   238.33
GDK4000   220.31
GAK4001   244.81
GGK4001   263.81
GPK4001   367.50
GTK000C   267.14
GTN0019   255.50
GTH001T   281.16
GTK0009   266.08
GDK000G   281.16
GND000O   257.46
GHD000Z   292.61
GDK900q   277.07
GND700V   288.46
GHD700N   282.81
GKK5003   246.33
GNK5009   308.92
GHK500B   264.11
GKK5001   223.39
GDK5002   248.35
GDK700H   269.72
GUK7006   233.28
GNU700X   258.33
GHU700N   253.85
GUD8001   238.33
GUD700Y   233.23
GHU5002   246.33
GUK8004   238.81
GNU8006   250.04
GHU8006   258.45
GEN0005   257.46
GND0005   255.50
GAN0004   257.46
GND9004   260.03
GND000i   266.75
GEN9005   252.39
GND8002   254.71
GND800L   258.65
GNN800C   303.41
GHN800f   262.07
GND600N   281.01
GND800K   272.56
GNU700a   258.33
GHN500P   286.42
GNN800K   303.41
GNN800D   334.32
GHN800Q   306.11
GNN800L   318.59
GNN700s   314.25
GHN800g   262.07
GHN800h   306.11
GHN800j   275.98
GHN701U   264.41
GTN002E   247.38
GTN000e   279.85
GTH000m   249.33
GTN001h   255.50
GND000s   249.33
GAN000L   251.02
GGN000E   252.52
GPN000E   283.89
GNN000W   281.34
GAN000D   282.68
GGN0005   283.89
GPN000A   304.76
GHN000a   251.02
GAH0006   252.52
GGH0006   253.85
GPH0006   284.99
GNK900N   243.19
GNN900T   280.45
GHN900L   247.90
GHN900J   284.22
GHH9009   249.88
GHN900H   245.69
GHN900K   257.11
GNK8003   258.65
GNN900u   280.45
GNN900R   305.40
GHN900F   282.43
GHN900k   245.69
GHN900d   282.43
GHH9007   247.90
GND900z   252.39
GNN900S   290.28
GHN900G   254.90
GND7013   269.55
GNN600E   327.28
GNN600C   370.66
GHN600O   331.73
GNN700V   322.63
GAN700G   326.14
GGN7007   329.32
GPN700D   365.71
GNN600D   351.14
GHN700N   274.00
GND5004   308.92
GND700y   288.46
GTN002F   279.85
GTN000c   301.43
GTH000j   281.34
GTN001f   288.52
GNN000o   281.34
GGN000C   283.89
GPN000C   304.76
GNN000Y   302.64
GHN000c   282.68
GHN900i   282.43
