    5694  ! number of records (species) in the file
GTN7003   356.96
GTH7000   322.63
GTN6001   263.88
GTN7000   356.96
GTN700P   314.25
GTH700X   264.41
GTN700N   277.24
GTN7006   269.81
GTH7004   269.55
GTH7005   282.85
GTH700C   322.63
GTH7001   274.00
GTH6002   228.01
GTH700B   322.63
GTH700k   264.41
GTH700Y   269.81
GTH700f   253.81
GTH700V   233.23
GTK6000   198.17
GTN7008   283.32
GTN7001   339.73
GTH7002   288.46
GTN700O   277.24
GTH7006   269.77
GTH700W   253.81
GTE0013   280.10
GTK7002   253.76
GTK7000   233.18
GTU7000   204.18
GTN700L   300.93
GTH700M   253.76
GTT003E   249.33
GTT003B   281.34
GTT003C   251.02
GTT003D   257.46
GTT001n   293.55
GTT001k   251.02
GTT001l   303.23
GTT001m   292.61
GDK0007   282.09
GND000S   249.33
GHD000n   293.55
GDO3001   213.73
GDK0006   281.16
GHD400B   260.40
GHN4004   320.32
GHH4001   275.93
GTH004U   281.16
GHD600L   266.46
GHD500D   262.54
GHN5009   286.42
GHH5005   277.08
GHD3005   240.24
GHD500C   264.11
GHD2001   244.69
GHD400A   263.81
GED2001   215.33
GNK900L   254.90
GHK900L   299.83
GDK900b   288.99
GNO6006   248.22
GHO6006   279.14
GDO6006   265.89
GNN900m   292.26
GHN900q   257.11
GND9016   265.43
GNN600N   307.79
GHN600R   253.86
GND600U   266.07
GHN901Z   257.11
GHH900W   308.56
GHD901A   299.07
GHN600j   253.86
GHH600L   290.74
GHD600U   279.62
GTD900N   262.48
GTN901A   260.03
GTH902A   277.07
GTA8003   238.81
GTG8004   258.45
GTP8003   254.71
GTH003S   267.14
GAO7004   269.85
GGO7004   282.89
GPO7004   258.26
GEN8001   246.74
GGN700F   258.26
GPN700G   308.96
GNK9004   252.39
GEH8005   286.55
GGH700A   293.91
GPH700E   262.18
GHK9004   289.75
GAO7003   253.89
GGO7003   269.85
GPO7003   253.81
GED8001   273.68
GDK9005   277.07
GAN700O   253.81
GAH700K   282.89
GAD700A   269.81
GAK9009   288.99
GGD7005   282.85
GGK9006   299.07
GPD7005   274.00
GPK9007   267.64
GNO6001   241.70
GHO6001   265.42
GDO6001   249.10
GAO6003   265.89
GGO6002   279.62
GPO6002   271.72
GNN6004   302.81
GHN600C   248.22
GND6006   259.56
GHN6002   248.22
GHH6002   279.14
GHD6002   265.89
GAH600C   279.62
GGH6008   291.22
GPH6009   276.70
GHN9019   254.90
GGN700E   253.81
GPN700F   305.45
GND900d   262.92
GNN600J   302.81
GHN600V   248.22
GND600H   259.56
GHH600P   253.86
GHN600b   266.07
GGH7008   282.89
GPH700D   258.26
GHD900N   288.99
GHH600B   279.14
GHD600D   265.89
GHH600H   279.62
GDD600A   249.66
GDD4003   220.31
GAN800L   262.07
GAH800R   296.65
GAG900G   307.80
GPA900M   269.62
GAD8008   285.65
GAN800J   306.11
GAH800O   265.09
GAG900D   269.62
GPA900J   307.03
GAN8004   275.98
GAH800Y   265.09
GAH800P   305.77
GAG900E   315.51
GPA900K   271.41
GAH8006   296.17
GAN800G   258.65
GAH800H   286.13
GAG9009   299.07
GPA900D   267.64
GAD8005   273.20
GAN800K   275.98
GAH800Q   296.17
GAG900F   306.93
GPA900L   281.92
GAD8007   285.08
GAN6003   266.07
GAH6002   279.62
GAD6002   266.46
GGD9005   299.07
GGN9002   267.64
GGH9002   307.80
GGD9002   288.99
GGD9004   298.20
GPD9004   267.64
GPN9002   305.39
GPH9002   269.62
GPD9001   265.43
GPD9003   279.94
GHO2000   233.81
GDK900n   277.83
GDK900B   263.23
GAO6004   249.10
GGO6003   265.89
GPO6003   266.07
GDK900t   289.75
GND9018   254.90
GHD9015   299.83
GDK900v   277.83
GDK700M   269.81
GUK8006   258.45
GND901Q   254.90
GNN9016   292.26
GHN901d   257.11
GND901S   252.39
GND700P   269.55
GNU800V   254.71
GHD901U   299.83
GHN9024   257.11
GHH9012   308.56
GHD900w   289.75
GHD700S   282.85
GHU800U   273.68
GDK700U   253.85
GDO4001   241.40
GNO4001   274.94
GOO3000   208.52
GNO3001   296.79
GHO3001   235.04
GDO4002   216.90
GAO4000   241.40
GGO4000   260.40
GPO4000   320.32
GDK700F   253.85
GDK600F   267.15
GUD700S   233.28
GDO3003   213.73
GAO3000   240.24
GGO3000   260.81
GPO3000   379.66
GKO4001   241.40
GNK4005   310.18
GHK4006   260.40
GDK4005   244.81
GUD7007   253.81
GUK7004   253.81
GNU800N   254.71
GHU800E   273.68
GUD800K   238.81
GUD800G   257.97
GUD9009   262.48
GUD700U   233.28
GUD5002   223.39
GND901H   252.39
GAN6009   259.56
GGN6005   266.07
GPN6006   327.28
GND900F   254.90
GNN900B   292.26
GHN900P   257.11
GND900C   252.39
GNN5002   326.57
GHN5006   261.96
GND5007   278.28
GND700u   269.55
GNU800F   254.71
GNN700E   326.14
GNN700C   363.04
GHN700D   329.32
GNN9008   292.26
GNN9007   317.57
GHN900C   294.05
GNN9003   290.28
GNN7006   322.63
GNN800F   300.40
GNN700D   347.17
GHN901k   257.11
GHN901l   294.05
GHH9014   259.09
GHN901I   254.90
GHN500M   332.79
GHH500G   269.02
GHN500N   286.42
GHN701E   274.00
GHN800d   258.65
GND700g   269.55
GNN700c   322.63
GHN7012   274.00
GND700e   264.41
GND700f   288.46
GNN4004   363.07
GHN4006   285.07
GND4003   310.18
GAN4002   320.32
GGN4002   329.09
GPN4003   418.08
GNO3000   296.79
GNN3000   411.22
GHN3001   311.81
GND4004   298.20
GAN4000   310.18
GGN4000   320.32
GPN4001   411.16
GND700Z   264.41
GND600W   314.39
GNU700E   258.33
GND3001   351.93
GAN3002   366.95
GGN3001   379.66
GPN3002   498.37
GNN4008   403.42
GHN400B   320.32
GND400B   357.37
GNU7003   283.32
GNU700d   283.32
