TREF TMECH 298.0 298.0
CH3O2      1.30E-12  1.30E-12 DATA, COPY
2H5001    2.40E-12  2.40E-12 SAR, SAR
TD9000    5.64E-14  5.64E-14 SAR, SAR
2T900B    2.40E-12  2.40E-12 SAR, SAR
2T900C    2.40E-12  2.40E-12 SAR, SAR
2T7006    2.40E-12  2.40E-12 SAR, SAR
2T8006    2.40E-12  2.40E-12 SAR, SAR
2D9000    2.40E-12  2.40E-12 SAR, SAR
2D9001    2.40E-12  2.40E-12 SAR, SAR
2D9002    2.40E-12  2.40E-12 SAR, SAR
2D9003    2.40E-12  2.40E-12 SAR, SAR
2D7005    2.40E-12  2.40E-12 SAR, SAR
2D8001    2.40E-12  2.40E-12 SAR, SAR
2D9004    2.40E-12  2.40E-12 SAR, SAR
2D6000    2.40E-12  2.40E-12 SAR, SAR
2D4001    2.40E-12  2.40E-12 SAR, SAR
2D8002    2.40E-12  2.40E-12 SAR, SAR
2K7000    2.40E-12  2.40E-12 SAR, SAR
2K7001    2.40E-12  2.40E-12 SAR, SAR
HD5000    3.36E-14  3.36E-14 SAR, SAR
2H5002    2.40E-12  2.40E-12 SAR, SAR
TP9001    4.58E-16  4.58E-16 SAR, SAR
2T900D    2.40E-12  2.40E-12 SAR, SAR
2T900E    2.40E-12  2.40E-12 SAR, SAR
2T900F    2.40E-12  2.40E-12 SAR, SAR
2T900G    2.40E-12  2.40E-12 SAR, SAR
2T8007    2.40E-12  2.40E-12 SAR, SAR
2T900H    2.40E-12  2.40E-12 SAR, SAR
2T8008    2.40E-12  2.40E-12 SAR, SAR
2P9003    2.40E-12  2.40E-12 SAR, SAR
2P9004    2.40E-12  2.40E-12 SAR, SAR
2P9005    2.40E-12  2.40E-12 SAR, SAR
2P9006    2.40E-12  2.40E-12 SAR, SAR
2P9007    2.40E-12  2.40E-12 SAR, SAR
2P8000    2.40E-12  2.40E-12 SAR, SAR
2P8001    2.40E-12  2.40E-12 SAR, SAR
2P8002    2.40E-12  2.40E-12 SAR, SAR
2P6002    2.40E-12  2.40E-12 SAR, SAR
2P7000    2.40E-12  2.40E-12 SAR, SAR
2A6000    2.40E-12  2.40E-12 SAR, SAR
2P9008    2.40E-12  2.40E-12 SAR, SAR
2P6003    2.40E-12  2.40E-12 SAR, SAR
2P5000    2.40E-12  2.40E-12 SAR, SAR
2P8003    2.40E-12  2.40E-12 SAR, SAR
2P7001    2.40E-12  2.40E-12 SAR, SAR
2A5000    2.40E-12  2.40E-12 SAR, SAR
2P4000    2.40E-12  2.40E-12 SAR, SAR
2A3000    2.40E-12  2.40E-12 SAR, SAR
2A5001    2.40E-12  2.40E-12 SAR, SAR
2P7002    2.40E-12  2.40E-12 SAR, SAR
2P6004    2.40E-12  2.40E-12 SAR, SAR
TA8002    5.55E-14  5.55E-14 SAR, SAR
2T8009    2.40E-12  2.40E-12 SAR, SAR
2T800A    2.40E-12  2.40E-12 SAR, SAR
2T7007    2.40E-12  2.40E-12 SAR, SAR
2A8000    2.40E-12  2.40E-12 SAR, SAR
2A8001    2.40E-12  2.40E-12 SAR, SAR
2A8002    2.40E-12  2.40E-12 SAR, SAR
2A8003    2.40E-12  2.40E-12 SAR, SAR
2A7000    2.40E-12  2.40E-12 SAR, SAR
2D6001    2.40E-12  2.40E-12 SAR, SAR
2A8004    2.40E-12  2.40E-12 SAR, SAR
2A5002    2.40E-12  2.40E-12 SAR, SAR
2A7001    2.40E-12  2.40E-12 SAR, SAR
2A7002    2.40E-12  2.40E-12 SAR, SAR
2A6001    2.40E-12  2.40E-12 SAR, SAR
2D3000    2.40E-12  2.40E-12 SAR, SAR
2D5002    2.40E-12  2.40E-12 SAR, SAR
2A6002    2.40E-12  2.40E-12 SAR, SAR
TA8001    4.73E-16  4.73E-16 SAR, SAR
2T800B    2.40E-12  2.40E-12 SAR, SAR
2T800C    2.40E-12  2.40E-12 SAR, SAR
2T7008    2.40E-12  2.40E-12 SAR, SAR
2T800D    2.40E-12  2.40E-12 SAR, SAR
2A8005    2.40E-12  2.40E-12 SAR, SAR
2A8006    2.40E-12  2.40E-12 SAR, SAR
2A8007    2.40E-12  2.40E-12 SAR, SAR
2A8008    2.40E-12  2.40E-12 SAR, SAR
2H7009    2.40E-12  2.40E-12 SAR, SAR
2A8009    2.40E-12  2.40E-12 SAR, SAR
2H6005    2.40E-12  2.40E-12 SAR, SAR
2A800A    2.40E-12  2.40E-12 SAR, SAR
2A5003    2.40E-12  2.40E-12 SAR, SAR
2H4001    2.40E-12  2.40E-12 SAR, SAR
2A5004    2.40E-12  2.40E-12 SAR, SAR
2A7003    2.40E-12  2.40E-12 SAR, SAR
2H3000    2.40E-12  2.40E-12 SAR, SAR
TG9000    2.22E-14  2.22E-14 SAR, SAR
2T900I    2.40E-12  2.40E-12 SAR, SAR
2T900J    2.40E-12  2.40E-12 SAR, SAR
2T800E    2.40E-12  2.40E-12 SAR, SAR
2G9000    2.40E-12  2.40E-12 SAR, SAR
2G9001    2.40E-12  2.40E-12 SAR, SAR
2G9002    2.40E-12  2.40E-12 SAR, SAR
2G6000    2.40E-12  2.40E-12 SAR, SAR
DK7002    1.68E-14  1.68E-14 SAR, SAR
2D7006    2.40E-12  2.40E-12 SAR, SAR
2K6000    2.40E-12  2.40E-12 SAR, SAR
2D4002    2.40E-12  2.40E-12 SAR, SAR
2K4001    2.40E-12  2.40E-12 SAR, SAR
TH0005    2.25E-14  2.25E-14 SAR, SAR
2T000r    2.40E-12  2.40E-12 SAR, SAR
2T000s    2.40E-12  2.40E-12 SAR, SAR
2T900K    2.40E-12  2.40E-12 SAR, SAR
2H000H    2.40E-12  2.40E-12 SAR, SAR
2H000I    2.40E-12  2.40E-12 SAR, SAR
ND7002    1.68E-14  1.68E-14 SAR, SAR
2N7006    2.40E-12  2.40E-12 SAR, SAR
2N6000    2.40E-12  2.40E-12 SAR, SAR
UD5000    2.43E-15  2.43E-15 SAR, SAR
2D5003    2.40E-12  2.40E-12 SAR, SAR
2D5004    2.40E-12  2.40E-12 SAR, SAR
TT0001    2.12E-13  2.12E-13 SAR, SAR
2T000t    2.40E-12  2.40E-12 SAR, SAR
2T000u    2.40E-12  2.40E-12 SAR, SAR
2T000v    2.40E-12  2.40E-12 SAR, SAR
2T000w    2.40E-12  2.40E-12 SAR, SAR
2T000x    2.40E-12  2.40E-12 SAR, SAR
2T000y    2.40E-12  2.40E-12 SAR, SAR
2H000J    2.40E-12  2.40E-12 SAR, SAR
2H000K    2.40E-12  2.40E-12 SAR, SAR
2T7009    2.40E-12  2.40E-12 SAR, SAR
2H700A    2.40E-12  2.40E-12 SAR, SAR
TH000B    7.10E-15  7.10E-15 SAR, SAR
2T000z    2.40E-12  2.40E-12 SAR, SAR
2T0011    2.40E-12  2.40E-12 SAR, SAR
2T0012    2.40E-12  2.40E-12 SAR, SAR
2T700A    2.40E-12  2.40E-12 SAR, SAR
2T0013    2.40E-12  2.40E-12 SAR, SAR
