*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: C5H8
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C3MCODBPAN	O=CC(=CC(=O)OON(=O)=O)C	InChI=1S/C5H5NO6/c1-4(3-7)2-5(8)11-12-6(9)10/h2-3H,1H3	ABUKHSDGKGHQTM-UHFFFAOYSA-N	C5H5NO6	175.0963	false	false	
C3MDIALO	O=CC(C)([O])C=O	InChI=1S/C4H5O3/c1-4(7,2-5)3-6/h2-3H,1H3	BVPMDQJDTQXCAG-UHFFFAOYSA-N	C4H5O3	101.0807	false	false	
C3MDIALO2	[O]OC(C)(C=O)C=O	InChI=1S/C4H5O4/c1-4(2-5,3-6)8-7/h2-3H,1H3	IZPJVEIPSWTNBQ-UHFFFAOYSA-N	C4H5O4	117.0801	false	true	
C3MDIALOH	O=CC(C)(O)C=O	InChI=1S/C4H6O3/c1-4(7,2-5)3-6/h2-3,7H,1H3	SQHUBVCIVAIUAB-UHFFFAOYSA-N	C4H6O3	102.0886	false	false	2-Hydroxy-2-methylmalonaldehyde; 2-hydroxy-2-methylpropanedial; 2CI8VP7BPV; 90980-80-6; HMPD
C3MDIALOOH	OOC(C)(C=O)C=O	InChI=1S/C4H6O4/c1-4(2-5,3-6)8-7/h2-3,7H,1H3	WJWKLOFSCXWKQD-UHFFFAOYSA-N	C4H6O4	118.088	false	false	
C42AOH	O=CC(O)CON(=O)=O	InChI=1S/C3H5NO5/c5-1-3(6)2-9-4(7)8/h1,3,6H,2H2	CQVFGUOZVNZZAM-UHFFFAOYSA-N	C3H5NO5	135.0755	false	false	
C45NO3	[O-][N+](=O)OCC(=C)C	InChI=1S/C4H7NO3/c1-4(2)3-8-5(6)7/h1,3H2,2H3	PIFTUOXVHZZPHE-UHFFFAOYSA-N	C4H7NO3	117.1033	false	false	2-methyl-2-propenyl nitrate; SCHEMBL7757850; methallyl alcohol nitrate; nitric acid 2-methyl-prop-2-enyl ester
C45O	CC(=C)C[O]	InChI=1S/C4H7O/c1-4(2)3-5/h1,3H2,2H3	HGUPZQDQYYRUPK-UHFFFAOYSA-N	C4H7O	71.0978	false	false	(2-Methylallyloxy)radical
C45O2	CC(=C)CO[O]	InChI=1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3	BVCGZBULERSRPE-UHFFFAOYSA-N	C4H7O2	87.0972	false	true	
C45OOH	CC(=C)COO	InChI=1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3	FVOKXQFSNKXOLC-UHFFFAOYSA-N	C4H8O2	88.1051	false	false	2-Methyl-2-propenyl hydroperoxide
C47CHO	O=CC(C(C=O)(O)C)O[N+](=O)[O-]	InChI=1S/C5H7NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h2-4,9H,1H3	RDLCGXNJQBCIFY-UHFFFAOYSA-N	C5H7NO6	177.1122	false	false	
C47CO3	O=CC(C(C(=O)O[O])(O)C)O[N+](=O)[O-]	InChI=1S/C5H6NO8/c1-5(9,4(8)14-12)3(2-7)13-6(10)11/h2-3,9H,1H3	GZEXBDPYEMQLBC-UHFFFAOYSA-N	C5H6NO8	208.103	false	true	
C47CO3H	O=CC(C(C(=O)OO)(O)C)O[N+](=O)[O-]	InChI=1S/C5H7NO8/c1-5(9,4(8)14-12)3(2-7)13-6(10)11/h2-3,9,12H,1H3	HMJAXDNPLKXZJW-UHFFFAOYSA-N	C5H7NO8	209.111	false	false	
C47PAN	O=CC(C(C(=O)OO[N+](=O)[O-])(O)C)O[N+](=O)[O-]	InChI=1S/C5H6N2O10/c1-5(10,3(2-8)15-6(11)12)4(9)16-17-7(13)14/h2-3,10H,1H3	KDZTVOSXJMMLDB-UHFFFAOYSA-N	C5H6N2O10	254.1085	false	false	
C4CO2O	O=CC([O])C(=O)C	InChI=1S/C4H5O3/c1-3(6)4(7)2-5/h2,4H,1H3	CSIDGLIHGNETRT-UHFFFAOYSA-N	C4H5O3	101.0807	false	false	
C4CO2O2	[O]OC(C=O)C(=O)C	InChI=1S/C4H5O4/c1-3(6)4(2-5)8-7/h2,4H,1H3	KSSGRDJNZMPOPI-UHFFFAOYSA-N	C4H5O4	117.0801	false	true	
C4CO2OOH	OOC(C=O)C(=O)C	InChI=1S/C4H6O4/c1-3(6)4(2-5)8-7/h2,4,7H,1H3	NOBUEMWCPQFCCN-UHFFFAOYSA-N	C4H6O4	118.088	false	false	
C4M2AL2OH	O=CC(O)C(C)(O)C=O	InChI=1S/C5H8O4/c1-5(9,3-7)4(8)2-6/h2-4,8-9H,1H3	NUHRTSFMSDZSTE-UHFFFAOYSA-N	C5H8O4	132.1146	false	false	
C4M2ALOHNO3	O=CC(O)C(C)(C=O)ON(=O)=O	InChI=1S/C5H7NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2-4,9H,1H3	UOGOTHSJBRKVRR-UHFFFAOYSA-N	C5H7NO6	177.1122	false	false	
